module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
Guardrails Revenue,grv-profile,Profila il progetto,GP,"Raccoglie in pochi minuti gli otto campi che danno contesto a tutte e venti le figure, criticità inclusa.",profile,,1-analysis,,,true,{project-root}/_bmad/memory/grl-shared,project-profile.md
Guardrails Revenue,grv-profile,Aggiorna il profilo,GA,"Riallinea il profilo quando il progetto cambia, e dice se il cambiamento invalida rischi già accettati.",update-profile,,anytime,grv-profile:profile,,false,{project-root}/_bmad/memory/grl-shared,project-profile.md aggiornato
Guardrails Revenue,grv-profile,Allinea il linguaggio del dominio,DG,"Raccoglie termini, definizioni operative, confini e casi limite condivisi senza aggiungere un nono campo al profilo.",domain,[path],anytime,,,false,{project-root}/_bmad/memory/grl-shared,domain-glossary.md
Guardrails Revenue,grv-board,Convoca il collegio,GB,"Fa leggere lo stesso artefatto alle sole figure pertinenti e restituisce un riepilogo unico, conflitti compresi.",review,[path],anytime,grv-profile:profile,,false,{project-root}/_bmad/memory/grl-shared,"riepilogo in conversazione, righe in decisions.md e accepted-risks.md"
Guardrails Revenue,grv-board,Rischi già accettati,GR,"Mostra, raggruppato per figura, quello che il progetto ha consapevolmente scelto di accettare.",accepted-risks,,anytime,grv-profile:profile,,false,{project-root}/_bmad/memory/grl-shared,elenco in conversazione
Guardrails Revenue,grv-board,Gate di rilascio,GG,"Verifica una release identificata e restituisce GO, GO_CON_CONDIZIONI, NO_GO o EVIDENZA_INSUFFICIENTE.",release-gate,[path],anytime,grv-profile:profile,,false,{output_folder}/release-gates,{release_slug}-{gate_started_at_utc}.md
Guardrails Revenue,grl-agent-revenue,Rhea — revenue management alberghiero,RM,"Consulenza e calcoli su KPI, pricing, forecast, profitto, QuoProfit/RevD e integrazioni PMS/Channel Manager, con dati, formule, assunzioni e gate di pubblicazione.",consult,,anytime,grv-profile:profile,,false,,"occupazione, ADR, RevPAR, TRevPAR, NRevPAR, GopPAR, MUP, MOL, pickup, booking curve, segmenti, canali, PMS, Channel Manager e rollback"
Guardrails Revenue,grl-revenue-audit,Audita dati e prezzi revenue,RA,"Produce un audit read-only di export, qualità dati, KPI, domanda e floor economico, con fonti, formule, blocker e dati mancanti.",audit,[path|export],anytime,grv-profile:profile,grl-revenue-plan:plan,false,{output_folder}/revenue/{slug},audit.md
Guardrails Revenue,grl-revenue-plan,Prepara un piano revenue,RP,"Costruisce scenari di pricing, domanda e profitto separando floor, mercato e forecast, con trigger di monitoraggio e senza pubblicare tariffe.",plan,[slug],anytime,grl-revenue-audit:audit,grl-revenue-preflight:preflight,false,{output_folder}/revenue/{slug},plan.md
Guardrails Revenue,grl-revenue-preflight,Preflight PMS e Channel Manager,RF,"Verifica contratto, mapping, semantica per-data/LOS, dry-run, response, riconciliazione, idempotenza e rollback prima dell'invio.",preflight,[slug],anytime,grl-revenue-plan:plan,,false,{output_folder}/revenue/{slug},preflight.md
Guardrails Revenue,grl-automation,Instrada un'automazione,AR,"Classifica lo scenario, sceglie agenti e workflow BMad e dichiara capability mancanti, scope e approvazioni, includendo social/content e creative video.",route,,anytime,grv-profile:profile,grl-automation:plan,false,{output_folder}/automation/{slug},"run.md, route e handoff.md"
Guardrails Revenue,grl-automation,Prepara un piano eseguibile,PL,"Costruisce passi idempotenti con input, output, precondizioni, rischio, approvazione e rollback.",plan,[slug],anytime,grl-automation:route,grl-automation:read-only,false,{output_folder}/automation/{slug},"plan.md e run.md"
Guardrails Revenue,grl-automation,Esegui controlli read-only,RO,"Raccoglie evidenze e confronti riproducibili senza modificare sistemi esterni.",read-only,[slug],anytime,grl-automation:plan,grl-automation:dry-run,false,{output_folder}/automation/{slug},"evidence.md aggiornato"
Guardrails Revenue,grl-automation,Prepara un dry-run,DR,"Genera e valida diff o payload senza spendere, pubblicare o applicare side effect.",dry-run,[slug],anytime,grl-automation:read-only,grl-automation:execute,false,{output_folder}/automation/{slug},"diff/payload validato e approvals.md"
Guardrails Revenue,grl-automation,Esegui dopo approvazione,EX,"Applica solo lo scope approvato, registra prima/dopo e osserva il risultato; in caso di errore attiva il rollback.",execute,[slug],anytime,grl-automation:dry-run,,false,{output_folder}/automation/{slug},"execution-log.md, handoff.md e stato del run"
Guardrails Revenue,grl-automation,Riprendi un'automazione,RS,"Riprende un run esistente dal primo passo non concluso senza duplicare scritture o side effect.",resume,[slug],anytime,,,false,{output_folder}/automation/{slug},"run.md, plan.md e execution-log.md aggiornati"
